iter	Passed	Remaining
399	34261	51392
400	34328	51278
401	34397	51168
402	34458	51046
403	34521	50928
404	34582	50807
405	34649	50694
406	34705	50566
407	34770	50451
408	34826	50323
409	34890	50208
410	34962	50104
411	35033	49998
412	35092	49877
413	35147	49749
414	35219	49646
415	35287	49537
416	35350	49423
417	35414	49308
418	35483	49201
419	35558	49104
420	35634	49007
421	35710	48911
422	35769	48792
423	35826	48670
424	35887	48553
425	35957	48450
426	36025	48343
427	36100	48245
428	36166	48137
429	36223	48017
430	36294	47915
431	36360	47807
432	36417	47688
433	36489	47587
434	36561	47488
435	36641	47398
436	36697	47278
437	36764	47172
438	36824	47058
439	36882	46941
440	36951	46838
441	37015	46729
442	37089	46634
443	37164	46539
444	37232	46436
445	37293	46324
446	37359	46218
447	37421	46109
448	37490	46007
449	37558	45904
450	37629	45806
451	37702	45710
452	37758	45593
453	37832	45498
454	37891	45386
455	37955	45279
456	38020	45175
457	38080	45064
458	38136	44949
459	38214	44861
460	38295	44774
461	38352	44662
462	38411	44551
463	38479	44450
464	38548	44350
465	38611	44245
466	38673	44138
467	38752	44051
468	38816	43947
469	38882	43846
470	38959	43756
471	39028	43658
472	39100	43564
473	39169	43466
474	39237	43367
475	39309	43273
476	39364	43160
477	39421	43050
478	39490	42952
479	39556	42853
480	39624	42754
481	39702	42667
482	39776	42576
483	39845	42479
484	39915	42384
485	39982	42286
486	40045	42183
487	40108	42081
488	40177	41985
489	40245	41887
490	40307	41784
491	40385	41698
492	40454	41603
493	40515	41499
494	40587	41407
495	40643	41298
496	40703	41194
497	40762	41090
498	40834	40997
499	40894	40894
500	40966	40802
501	41031	40704
502	41092	40601
503	41142	40489
504	41202	40386
505	41271	40292
506	41343	40201
507	41410	40105
508	41485	40018
509	41553	39923
510	41614	39822
511	41670	39717
512	41734	39618
513	41810	39532
514	41871	39431
515	41942	39341
516	42018	39255
517	42079	39155
518	42140	39055
519	42204	38957
520	42283	38874
521	42341	38772
522	42407	38677
523	42472	38581
524	42539	38488
525	42608	38396
526	42677	38304
527	42752	38217
528	42818	38123
529	42877	38023
530	42950	37935
531	43021	37845
532	43087	37751
533	43155	37659
534	43225	37569
535	43289	37474
536	43351	37377
537	43418	37284
538	43493	37199
539	43555	37102
540	43622	37010
541	43684	36914
542	43758	36827
543	43831	36741
544	43897	36648
545	43967	36558
546	44023	36457
547	44091	36367
548	44159	36276
549	44229	36187
550	44297	36097
551	44368	36008
552	44437	35920
553	44512	35834
554	44581	35745
555	44648	35654
556	44712	35561
557	44781	35472
558	44862	35392
559	44930	35302
560	45006	35219
561	45090	35141
